musicname & artist,length,rms_mean,rms_var,bpm,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,percussive_mean,percussive_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,spectral_rolloff_mean,spectral_rolloff_var,chroma_frequencies_mean,chroma_frequencies_var,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var
Hope - Tobu,1323000,0.3322611,0.014626864,129.1992188,0.104355253,0.093465234,-0.013271417,0.08081895,0.001857406,0.018961856,2858.656652,244130.4506,2783.547135,46436.94664,6234.658133,758172.0004,0.4117689,0.08971589,-0.75113815,2072.994,57.72068,277.44257,-10.381684,248.04044,20.202179,147.30827,6.64259,114.37793,17.306814,119.21304,5.729778,100.158585,11.108389,103.64215,-0.50999504,97.545105,7.0335402,101.826965,-0.2860495,130.22324,4.0470095,110.31327,-3.090427,79.00511,4.1367345,94.230515,-2.3322067,66.105995,3.1028154,52.008774,-2.2665114,48.97815,0.9109772,58.290066,-4.8768373,75.45567,3.7196639,67.32698
Seven - Tobu,1323000,0.31522533,0.015700266,129.1992188,0.125858655,0.110018254,-1.15E-05,0.06748681,-1.78E-05,0.024320897,3111.527535,351899.7638,2918.99872,48221.91868,6772.042384,866446.0609,0.36175492,0.09023384,-1.8178333,2530.5032,54.851078,298.92358,1.5409514,318.469,17.401325,166.82101,0.028194085,137.80904,8.782003,136.99164,-0.029131532,129.00172,7.258169,114.90058,-6.048209,119.970924,0.35561955,149.5132,-3.147247,162.69936,4.91754,128.96184,-0.91548556,94.846375,3.4168932,98.262726,-5.2769575,57.307953,0.09074898,35.84228,-6.72402,45.863266,-1.3079901,76.57571,-3.8100185,61.336395,3.02086,58.41652
Sunburst - Tobu & Itro ,1323000,0.318982,0.019502737,129.1992188,0.122637944,0.107597879,-0.001674792,0.07477023,6.69E-05,0.02008344,2864.65679,537207.1432,2747.288199,184007.3243,6160.475248,2105467.07,0.34806058,0.09217532,-11.060335,3654.4087,65.197136,977.21606,-5.708185,515.93207,17.094038,159.49443,2.0021617,161.0546,12.16881,100.02622,0.931914,105.8631,7.797164,76.45599,0.6745583,77.849625,8.947964,85.2078,3.8569486,101.49963,9.257908,79.26051,1.980561,93.005295,6.7474213,95.844,-0.002653848,76.22743,2.6698096,54.732937,-4.671229,54.28888,1.4033306,53.49405,-4.0250993,95.30987,3.9528718,104.61927
Why Do I - Unknown Brain,1323000,0.35943958,0.012469633,172.265625,0.083734694,0.076723195,1.22E-05,0.098281525,0.000364746,0.021140635,2348.527778,467552.2646,2529.477725,185635.964,5249.772422,2304058.686,0.48041388,0.080425695,-3.8905735,2697.7783,87.82445,1124.6967,-8.307605,549.8341,19.823334,246.01558,0.6388125,259.1103,13.214033,198.86716,-1.6741468,205.17902,7.624158,180.88194,-3.4939754,114.464615,3.142152,203.51335,1.3290712,83.2463,2.0543792,95.73124,-1.1463275,67.525406,4.433596,74.46095,-4.8107457,53.524853,6.0808477,58.1142,-2.7549672,43.661854,3.0279832,45.393288,-3.0692766,57.058033,2.5525935,56.252964
Control - Unknown Brain x Rival,1323000,0.28485346,0.017800564,80.74951172,0.089275132,0.081305083,3.00E-06,0.05915823,0.000173777,0.019779919,2133.110644,744764.0701,2290.467175,238806.5575,4444.427292,3204461.703,0.43634343,0.0895247,-31.722565,2492.734,105.499756,1172.323,-12.289248,405.9653,11.600185,277.1807,-7.3674164,233.05055,11.036701,186.24344,-1.7065426,168.19064,7.546057,106.06141,-4.1878014,104.51478,6.1412253,107.662155,-1.9797579,64.31289,2.4818919,68.44234,-2.3770087,58.390614,4.244081,51.14447,-6.5163536,48.13121,2.9880378,41.330173,-5.2157555,53.70576,-0.762867,48.391907,-3.2190413,45.97642,1.529427,59.30079
Time - 3rd Prototype & Lex Dave,1323000,0.3684,0.008670346,129.1992188,0.13248904,0.114935694,-3.14E-05,0.09442729,-0.00044596,0.019832518,2960.536621,231359.0878,2778.991491,58588.84712,6321.670107,968710.6599,0.37003323,0.08092634,39.001186,2915.7715,64.973564,335.12064,-9.81002,211.80064,16.864222,136.7769,0.48515296,89.92757,3.0008771,229.18619,-2.8416877,91.840775,5.560176,97.81612,-1.8511198,84.50349,5.4590044,84.75116,0.22259663,57.378628,3.013827,79.03703,-1.5008132,64.000015,6.6510816,67.01617,-5.4060693,67.92983,5.3033185,57.408173,-2.0185788,63.86084,0.9134187,95.768394,-0.09446922,58.96229,4.459174,83.986855
Adventure Time - Music Predators,1323000,0.32557216,0.007779202,112.3471467,0.074571429,0.069010531,-0.002302464,0.09217907,-0.003862462,0.007421558,3071.193574,302896.1163,3022.854154,54810.4995,6934.391402,887118.3303,0.48685902,0.07570658,-1.5954971,2115.8235,58.34587,324.49475,11.427068,168.1307,27.224676,75.40053,5.616374,53.797165,6.734059,44.49406,2.9747896,51.21587,8.182224,40.0994,3.0824842,33.822323,6.805346,33.47054,0.18227088,40.92384,7.166426,34.827816,-1.1597123,40.21165,3.008605,58.96003,2.0996964,43.988525,10.335208,42.716785,3.1387255,40.94825,7.777339,39.03359,3.4054284,37.107174,5.5789,24.564241
Adventures (feat. Alexa Lusader) - William Ekh,1323000,0.17280042,0.008582277,129.1992188,0.109964475,0.097872289,3.09E-06,0.024868194,-1.17E-05,0.004868617,2605.04619,727530.9732,2596.304034,375117.5212,5521.92911,4121778.594,0.32574743,0.08604976,-74.887634,10922.127,78.946915,1004.6118,-2.8771393,342.4794,13.191502,313.1998,-3.3123293,232.04283,-5.566594,387.59567,-2.3354142,187.51617,-5.0809283,201.20201,-10.387925,115.889824,-1.0284169,113.04771,-11.508467,106.37082,-0.8805886,79.29954,-4.795341,86.01132,1.2237624,58.711857,-5.0373273,72.89653,-0.18548894,50.33944,-8.413973,51.60763,-0.70691746,51.898182,-3.9927106,45.98272,1.6401054,51.133213
Alive - Itro & Kontinuum,1323000,0.35907012,0.009462957,103.359375,0.11305291,0.10027195,-7.61E-05,0.07948742,0.000175317,0.025956674,3200.281484,182172.973,3101.089686,60893.49749,7280.451809,592611.1718,0.44276112,0.08719726,15.6009445,3771.3662,55.844143,314.60837,14.221994,320.52295,18.017115,124.95817,3.6890016,111.69182,10.395001,101.23043,-0.09533519,91.733635,6.6687193,96.0588,-1.9838557,95.16813,9.208077,100.619484,-1.9780439,89.67462,6.2720537,98.887695,-1.4899119,84.20448,2.764523,73.670654,-2.2396474,73.8326,3.5151508,60.601265,-2.0574927,68.57251,2.413556,79.11755,-4.1857862,58.77194,6.1324496,51.4743
Alone - Main Reaktor,1324632,0.09752082,0.002324947,75.99954044,0.169421394,0.140717785,6.47E-07,0.007788732,-8.62E-05,0.001461773,3126.940924,563336.4127,2660.006469,124899.1568,6288.514872,1938663.702,0.28717333,0.076101646,-85.24727,7207.711,58.10179,882.2614,-13.990735,175.98923,14.763905,59.758224,-0.28376177,43.58534,10.157921,33.77548,-3.008492,29.676548,6.2086444,26.62509,-4.6519322,36.51979,2.0246356,34.097523,-3.6898916,29.745483,4.79841,41.978073,1.1206701,68.73748,8.798097,87.84415,1.06534,62.496487,3.0235908,59.76614,-5.65898,86.601326,0.20766203,102.10279,-1.8515573,60.977917,4.7153654,34.0678
Awakening - Main Reaktor,1323000,0.0531264,0.002238985,151.9990809,0.226855631,0.175392154,-1.50E-05,0.002940825,-0.000226312,0.000872299,3566.964315,518346.1285,2667.705797,95315.38261,6754.788321,1184284.151,0.39619935,0.08073707,-167.76646,13725.127,35.830368,814.91534,-22.396725,380.11432,11.292024,128.18636,-14.126625,149.59157,5.184088,62.77757,-9.355903,81.63581,4.0633173,49.060493,-6.014714,79.130035,5.486087,57.36976,2.076247,61.916386,0.2832929,78.543594,-8.8917265,59.228092,-3.8054593,46.479523,-5.9624653,51.059536,2.3914516,30.376205,-0.54226714,39.601734,6.033101,44.41488,-0.33439162,54.68886,0.87236094,66.3201
Aware - Kontinuum,1323000,0.13283741,0.009589495,112.3471467,0.098359788,0.08868514,4.10E-06,0.016078567,-7.46E-05,0.006195711,2451.78369,1772713.763,2525.997347,1101691.09,5384.488274,9333639.007,0.32263958,0.10155075,-209.59656,19407.713,102.800224,3905.9148,15.147062,884.81647,-19.676579,1954.5898,-7.4987273,336.61658,-7.402086,387.7035,-15.546916,327.52002,-3.8396676,166.45198,-10.7676325,193.5725,-0.26371202,223.06708,-5.5256248,128.89024,1.4366279,208.67009,-1.9285785,136.09038,1.4355204,129.1809,-4.1657043,124.54292,0.85088664,100.21354,-1.4966774,76.23374,-3.743906,98.16094,-3.2070727,51.739067,-1.9906241,67.26273
Bad Motives - DM Galaxy,1323000,0.24190344,0.009592379,92.28515625,0.114473167,0.101369061,0.000159677,0.03822601,0.000697395,0.014738902,3063.065459,703943.9356,2968.470711,147557.5953,6769.92573,2132723.535,0.4008639,0.09387763,-34.232784,2823.3396,61.428368,778.6643,12.001124,431.51547,23.554714,152.70776,8.001674,94.028496,10.162855,90.65103,3.156263,49.291737,9.381107,50.33285,1.4433925,45.13,8.235722,59.886253,2.747062,82.23452,8.97963,76.304756,0.39130557,76.33831,4.3518405,61.19088,-1.9856975,45.907875,5.298422,44.71745,-1.3825859,58.93746,2.7367198,53.742847,-3.8229742,52.69984,4.1083145,89.27062
Blank - Disfigure,1323000,0.3223416,0.001292422,143.5546875,0.105184429,0.094120665,-0.000128849,0.081005454,0.000275334,0.009163692,3209.794946,398272.6252,3025.478209,89441.7561,7028.524166,1277903.845,0.36352262,0.07955658,9.309738,1440.5934,56.29185,379.13065,4.3564777,274.6665,11.580135,80.26947,3.85844,69.908714,13.086908,53.85449,5.014562,75.43891,11.872329,48.18624,3.507904,55.0272,9.368043,49.84058,1.4470389,48.249985,8.466582,45.829975,1.0450219,74.30459,4.770181,67.04268,0.969811,47.828644,4.9009666,44.852978,-0.5315499,53.819557,8.225008,58.11854,3.711272,67.8124,6.648678,70.21095
California (feat. Corey Saxon) - Luke Carpenter & John Ross,1323000,0.28114453,0.002822838,129.1992188,0.147633409,0.125837785,-2.18E-05,0.055582836,-6.43E-05,0.01197179,3693.434403,144070.7573,3119.593564,18965.97273,7759.007249,277283.7024,0.48437518,0.07281315,11.463242,756.6181,32.421585,298.56586,-4.5585647,122.05909,13.094699,106.71794,7.095708,68.04815,11.5051,97.63598,4.820429,71.64591,10.007074,85.69223,6.8933945,69.17247,13.083793,53.77195,4.8617516,48.407936,9.688332,61.190876,2.1211905,47.93752,7.751179,55.33548,6.378468,60.655342,13.584063,71.40274,7.895795,76.24866,14.767255,112.87552,4.799048,81.518845,1.2508672,34.01558
Fall With Me - Jim Yosef,1323000,0.19078225,0.010199136,99.38401442,0.084412698,0.077287195,-2.77E-07,0.026580613,-3.55E-05,0.007569538,2004.555416,1324855.445,2237.659604,616203.4193,4224.070291,7187658.457,0.3858165,0.08690354,-112.13868,14189.696,104.34671,2253.7097,20.601204,726.10693,27.221312,202.86023,1.2087071,157.33235,5.4349484,141.43698,0.60972136,115.24086,4.060626,81.36493,-3.7020328,62.7253,-0.4140126,77.80679,-5.92073,86.8076,0.1108081,71.7722,-3.075461,64.74188,5.0192895,81.50362,2.4146633,75.24171,7.021229,74.33783,2.301262,76.67491,2.8986185,59.174915,-4.7936263,50.78907,-4.141956,50.187954
Collapse - Jonth,1323000,0.3442404,0.016482841,123.046875,0.094344671,0.085443754,-0.000532619,0.07240472,-0.002577797,0.03450786,2795.30996,494841.8748,2807.190484,111399.1404,6207.0708,1769433.327,0.5438299,0.07059449,1.5573081,6202.4946,66.611115,569.12317,-3.5190475,403.24435,17.576857,217.88728,6.4609203,196.8192,12.446645,121.9894,4.091526,107.75376,11.966977,93.63233,1.3314316,80.62823,9.196011,76.34788,2.2469678,89.04614,5.7046175,83.44093,0.47444648,65.73985,4.43835,69.77428,-1.6484934,53.300224,1.1772122,40.669262,-3.974739,40.44102,3.1739352,42.278767,-1.757871,49.182274,6.130574,53.17918
TOKYO 2099 - Stereotype,1324566,0.26230866,0.026342388,151.9990809,0.093608775,0.084846172,1.13E-06,0.039311625,-0.000830945,0.034592148,2456.90301,830874.8344,2598.070257,180134.0398,5364.750443,3415337.66,0.38762298,0.10378273,-83.92954,4954.2007,77.75093,995.528,3.494294,526.7491,18.930717,234.06038,8.049872,185.12282,17.414911,120.54625,3.4748037,113.8796,15.276387,120.8922,3.2659035,146.03543,14.450871,114.54294,0.8384229,133.70984,9.506134,127.78115,-3.8291845,120.7179,-2.3330512,133.24588,-4.7483544,158.97595,5.9123244,81.49935,1.0844251,87.64558,0.5387196,80.7797,-5.3226595,75.141075,10.651688,103.70271
I'm Fine - 3rd Prototype,1323000,0.40046045,0.0177722,129.1992188,0.08197808,0.075257675,1.04E-05,0.09541226,4.58E-05,0.036137838,2504.58509,623469.2934,2737.536133,186742.0675,5731.798674,3272876.498,0.50574374,0.09459216,6.322456,3378.8162,83.39374,958.7254,8.349502,514.7021,20.84503,250.39786,5.890253,142.90408,9.848289,170.40733,2.251746,96.044975,8.782497,73.39586,1.029514,68.10934,8.03319,56.913616,-2.1507916,56.734436,6.0298715,50.824352,0.119465455,43.332943,3.5880249,43.855118,-2.6838832,36.368813,4.501433,37.177795,-2.1739388,38.94252,3.4429538,47.1118,-1.2903756,37.013367,4.8835416,27.904194
All I Wanna - GALLIUM,1323000,0.3189836,0.028309816,99.38401442,0.082150416,0.075401725,6.38E-06,0.06500892,0.000235814,0.03778772,2373.66874,700330.6723,2592.303878,253932.4878,5322.167818,3560617.786,0.51988715,0.08322227,-32.649918,5834.8296,87.197945,1143.7522,-4.171082,631.0248,8.48111,263.70755,4.0718665,314.52094,8.940298,198.28256,-0.26551095,142.6761,9.043879,116.10969,-2.3923113,140.03525,5.4930835,89.688194,1.1392161,99.7167,4.3564196,84.02993,-0.20584182,101.5841,6.1948123,79.932785,-4.6901875,69.383644,3.0030258,52.786644,-0.3153782,56.63933,1.5677556,52.384953,-0.8158842,49.105484,3.172712,46.6894
Erase - RudeLies & Clarx,1323000,0.357073,0.006581503,123.046875,0.092887377,0.084259312,0.0001027,0.07253276,0.000999506,0.026357489,2539.820199,345143.5581,2745.293353,114534.1825,5795.477456,1925811.731,0.3903903,0.089483105,24.687248,1621.4154,86.52294,563.8617,-1.4285905,255.41234,9.004608,180.97127,-1.1914369,138.95741,1.2613095,135.9022,-5.272678,125.70221,-1.3575268,86.28438,-4.221936,83.79632,1.1640049,83.5246,-3.0585039,69.37709,1.3750443,70.540115,-2.3447177,61.8899,3.5851393,52.88527,-1.4135239,54.36264,2.9587567,55.19424,0.012555385,48.921738,4.836144,45.10767,-1.5118765,46.163456,5.433825,54.417305
Howling - Cartoon,1323000,0.37511277,0.003295247,172.265625,0.090794407,0.082550782,0.00014459,0.0898281,-0.000471816,0.02478077,3075.378154,301677.6677,3056.702431,66536.75372,7054.85734,967320.7001,0.46540296,0.074704215,28.33629,870.72504,63.573032,259.48428,8.832003,136.85847,19.511356,69.067665,13.575226,58.89855,13.106114,40.57238,0.115228325,37.157097,10.093032,33.948727,0.77387667,36.072224,5.1417265,30.804083,2.173924,24.618849,6.525981,26.899973,-2.445442,24.223877,7.1633096,27.152256,-0.99203426,30.675575,2.743092,39.903946,2.170399,50.170326,5.331677,45.634354,-2.4822114,47.476128,5.270844,35.227856
Your Body - Nomra,1323000,0.30659428,0.012904462,86.1328125,0.102197279,0.091752995,6.44E-05,0.05200093,0.000400227,0.027635729,2541.384863,570536.3728,2623.772351,321548.2466,5673.174028,3343447.536,0.45586565,0.08038544,-0.2174333,4682.999,88.60419,1084.3165,-2.424581,951.1867,18.356758,181.09964,0.46984693,179.37946,6.25726,168.12859,-8.073753,74.07328,0.018223813,84.52295,-10.016023,94.325066,-0.091378465,72.51649,-6.627195,56.7835,2.5405114,63.27636,-4.4992905,67.51186,1.5066856,55.174656,-0.8222997,62.181694,1.9896502,40.716606,-4.270228,36.990196,0.45842522,41.00935,-5.6180987,60.717106,-1.1369764,38.796494
Demons - Teyeq,1323000,0.376585,0.018108757,112.3471467,0.075425548,0.069736535,0.000128533,0.09702705,0.001628158,0.030697525,2293.088343,842607.6378,2581.439993,391899.5332,5255.972385,4563213.042,0.4868496,0.08152307,-32.3663,7470.2407,89.28398,1546.7233,10.074305,791.11993,21.277102,417.41016,5.8536215,278.79425,12.498199,188.68887,-0.89213485,190.39774,5.0784373,134.93875,-4.347649,156.3146,5.982715,117.43928,-1.9454206,121.84958,6.885236,100.72175,-1.7894013,84.284294,2.9071975,83.12742,-2.2471485,93.33645,4.5046525,70.74518,-0.862922,74.62591,3.200719,62.333126,-2.1040807,62.723175,5.5760374,63.998085
All My Love - Jagsy & Tom Wilson,1323000,0.2753848,0.01473746,95.703125,0.103711262,0.092955236,-7.22E-05,0.05624129,-0.00051275,0.015975446,2482.682426,858301.6159,2495.253003,188228.3155,5230.114208,3276796.212,0.4158213,0.088188894,-35.07135,7302.0845,82.79237,1530.4537,-5.5756216,547.7649,24.735464,313.15002,1.9326802,263.14203,7.7653756,173.52399,-5.3733892,132.31973,4.718516,117.8773,-5.1631374,126.50841,6.017078,84.440254,0.86274594,79.51961,5.1135087,66.965065,-2.4890501,73.93151,0.9389411,91.313286,-0.032186124,48.448265,3.4076762,56.351078,-5.855005,58.959473,5.7935534,90.72234,3.5150754,96.65282,3.9944086,96.62235
GET UP - TOKYO MACHINE & Guy Arthur,1323000,0.36798653,0.016888931,129.1992188,0.174050642,0.143757016,6.57E-07,0.077186055,-0.000778108,0.03844298,3687.882922,730057.2065,3028.450591,76120.70157,7465.738189,1296699.757,0.6173121,0.062753566,20.572145,5256.889,35.42225,657.55273,8.664014,639.08844,22.960556,304.25507,4.0061927,254.22246,12.055679,202.25351,1.6910449,166.6473,7.66025,121.564095,-2.521372,107.330475,4.837493,106.87986,-2.0320323,114.4096,6.589056,83.53345,-2.203147,76.00536,4.29656,74.00978,-2.2578967,79.95661,5.336714,56.962727,-2.5576353,65.36402,3.1209419,60.28402,-1.8286252,51.509445,3.143767,51.72553
Freefall - Arlow,1323000,0.2794769,0.006826825,117.4538352,0.148944822,0.126760262,0.000159899,0.04915372,0.000251806,0.017814292,3321.811149,729092.2681,2889.594795,170054.1061,6877.125082,2464800.842,0.42574143,0.078622654,12.210335,2743.5574,55.14418,1156.2001,-0.6231234,327.47754,20.011911,164.79254,-1.4000205,103.13667,8.081549,114.76491,3.8953006,84.59271,4.1932545,67.0998,0.31037727,57.750423,4.976205,62.90746,-0.9413339,47.10036,6.4253473,48.099705,3.3207018,62.952217,9.084902,49.84866,2.1391058,65.907364,6.3966203,60.458096,-0.412541,65.30667,2.5925858,53.335236,-1.5241667,55.617756,3.6305017,60.07497
Living With Regret - ROY KNOX & Shiah Maisel,1323000,0.33276933,0.007002703,75.99954044,0.140017385,0.120412517,5.51E-05,0.07185683,2.14E-05,0.018231345,3104.496141,1458518.73,2743.388347,292587.332,6344.011639,4679987.774,0.4412353,0.084410734,8.978768,4579.459,63.15722,2293.6213,-4.48053,354.25018,9.842956,201.23837,-0.6312635,126.71996,19.26183,150.57562,-0.95301974,108.56428,7.11591,77.05302,-0.1397091,62.93328,10.583014,53.069576,6.0237365,64.77813,8.371235,47.7895,-0.3326999,76.47561,5.385982,51.127953,0.15505798,55.966125,5.704028,66.52619,3.1210628,70.246544,6.5595303,66.28881,0.041410323,58.696312,5.172378,56.913574
